name,tokens_in,tokens_out,sample_idx,bytes-tokens-000,tokens-tokens-000,chosen_idx,order_switched
Wikipedia: Chester Cathedral,500,100,0,false,true,1,0
Wikipedia: Chester Cathedral,500,500,0,false,true,1,0
Wikipedia: Chester Cathedral,500,20,1,false,true,0,1
Wikipedia: Chester Cathedral,500,100,1,true,false,1,1
Wikipedia: Chester Cathedral,500,500,1,false,true,1,0
Wikipedia: Malcolm X,100,20,0,true,false,1,1
Wikipedia: Malcolm X,100,100,0,true,false,1,1
Wikipedia: Malcolm X,100,500,0,true,false,1,1
Wikipedia: Malcolm X,100,20,1,true,false,0,0
Wikipedia: Malcolm X,100,100,1,true,false,1,1
Wikipedia: Malcolm X,100,500,1,true,false,0,0
Wikipedia: Malcolm X,20,20,0,false,true,0,1
Wikipedia: Malcolm X,20,100,0,true,false,0,0
Wikipedia: Malcolm X,20,500,0,true,false,1,1
Wikipedia: Malcolm X,20,20,1,false,true,0,1
Wikipedia: Malcolm X,20,100,1,true,false,0,0
Wikipedia: Malcolm X,20,500,1,true,false,1,1
Wikipedia: Malcolm X,500,20,0,true,false,0,0
Wikipedia: Malcolm X,500,100,0,true,false,0,0
Wikipedia: Malcolm X,500,500,0,false,true,1,0
Wikipedia: Malcolm X,500,20,1,true,false,1,1
Wikipedia: Malcolm X,500,100,1,true,false,0,0
Wikipedia: Malcolm X,500,500,1,false,true,1,0
Wikipedia: Copyright Act 1911,100,20,0,false,true,1,0
Wikipedia: Copyright Act 1911,100,100,0,false,true,0,1
Wikipedia: Copyright Act 1911,100,500,0,false,true,1,0
Wikipedia: Copyright Act 1911,100,20,1,false,true,0,1
Wikipedia: Copyright Act 1911,100,100,1,false,true,1,0
Wikipedia: Copyright Act 1911,100,500,1,true,false,1,1
Wikipedia: Copyright Act 1911,20,20,0,true,false,0,0
Wikipedia: Copyright Act 1911,20,100,0,true,false,1,1
Wikipedia: Copyright Act 1911,20,500,0,true,false,0,0
Wikipedia: Copyright Act 1911,20,20,1,true,false,0,0
Wikipedia: Copyright Act 1911,20,100,1,true,false,0,0
Wikipedia: Copyright Act 1911,20,500,1,true,false,0,0
Wikipedia: Copyright Act 1911,500,20,0,true,false,0,0
Wikipedia: Copyright Act 1911,500,100,0,false,true,1,0
Wikipedia: Copyright Act 1911,500,500,0,false,true,1,0
Wikipedia: Copyright Act 1911,500,20,1,true,false,0,0
Wikipedia: Copyright Act 1911,500,100,1,true,false,1,1
Wikipedia: Copyright Act 1911,500,500,1,false,true,1,0
Wikipedia: BAT99-98,100,20,0,false,true,1,0
Wikipedia: BAT99-98,100,100,0,false,true,1,0
Wikipedia: BAT99-98,100,500,0,false,true,1,0
Wikipedia: BAT99-98,100,20,1,false,true,1,0
Wikipedia: BAT99-98,100,100,1,false,true,1,0
Wikipedia: BAT99-98,100,500,1,false,true,1,0
Wikipedia: BAT99-98,20,20,0,true,false,0,0
Wikipedia: BAT99-98,20,100,0,false,true,1,0
Wikipedia: BAT99-98,20,500,0,false,true,0,1
Wikipedia: BAT99-98,20,20,1,true,false,1,1
Wikipedia: BAT99-98,20,100,1,false,true,0,1
Wikipedia: BAT99-98,20,500,1,false,true,0,1
Wikipedia: BAT99-98,500,20,0,false,true,0,1
Wikipedia: BAT99-98,500,100,0,false,true,1,0
Wikipedia: BAT99-98,500,500,0,false,true,1,0
Wikipedia: BAT99-98,500,20,1,false,true,0,1
Wikipedia: BAT99-98,500,100,1,false,true,1,0
Wikipedia: BAT99-98,500,500,1,false,true,0,1
